Asiento: 1                                              |      DEBE       |      HABER      |
04/03/2026 (mp) Mp                                      |      425,000.00 |                 |
04/03/2026 (sueldo) Sueldo                              |                 |      425,000.00 |
Asiento: 2--------------------------------------------- | --------------- | --------------- |
04/03/2026 (eclesiasticos) Eclesiasticos                |       42,500.00 |                 |
04/03/2026 (mp) Mp                                      |                 |       42,500.00 |
Asiento: 3--------------------------------------------- | --------------- | --------------- |
04/03/2026 (varios) Varios                              |       77,000.00 |                 |
04/03/2026 (mp) Mp                                      |                 |       77,000.00 |
Asiento: 4--------------------------------------------- | --------------- | --------------- |
04/03/2026 (mp) Mp                                      |       27,144.00 |                 |
04/03/2026 (sueldo) Sueldo                              |                 |       27,144.00 |
Asiento: 5--------------------------------------------- | --------------- | --------------- |
04/03/2026 (comida) Comida                              |       25,000.00 |                 |
04/03/2026 (mp) Mp                                      |                 |       25,000.00 |
Asiento: 6--------------------------------------------- | --------------- | --------------- |
04/03/2026 (mp) Mp                                      |        4,173.00 |                 |
04/03/2026 (comida) Comida                              |                 |        4,173.00 |
Asiento: 7--------------------------------------------- | --------------- | --------------- |
04/03/2026 (mp) Mp                                      |          197.00 |                 |
04/03/2026 (intereses) Intereses                        |                 |          197.00 |
Asiento: 8--------------------------------------------- | --------------- | --------------- |
05/03/2026 (inversiones) Inversiones                    |      200,000.00 |                 |
05/03/2026 (mp) Mp                                      |                 |      200,000.00 |
Asiento: 9--------------------------------------------- | --------------- | --------------- |
05/03/2026 (mp) Mp                                      |          196.00 |                 |
05/03/2026 (intereses) Intereses                        |                 |          196.00 |
